CODE,MATERIAL_TYPE,NAME,INV_NAME,UNIT_CODE,ADD_SPEC,BHN_SPEC,GROUP_CODE,MAT_CATCODE,MATERIAL_SUBTYPE,DRG_NO,DRG_LOCATION,REF_PARTCODE,CUST_PARTCODE,LOC_CODE,PURH_GLACNO,PURH_SUB_GLACNO,SALE_GLACNO,SALE_SUB_GLACNO,SUPP_SUB_GLACNO,IS_EXCISABLE,EXCISE_TYPE,ABC_TYPE,IS_STKLEVELMAINTAIN,MIN_QTY,MAX_QTY,REORDER_QTY,MINORDER_QTY,PATBOX_WT,RR_WT,CASTING_WT,FINISH_WT,IS_BRANDED,TEST_CODE,COSTCENTER_CODE,CHAPTER_CODE,CHAPTER_NO,OLD_CODE,SALE_AS,REF_CODE,SCRAP_CODE,PART_SIZE,PURT_GLACNO,PURT_SUB_GLACNO,SART_GLACNO,SART_SUB_GLACNO,DRG_REVDATE,RATE,IS_GRNRECONSILATION,MAT_OWNER,CAST_GRADE,SPECIF_NO,CAST_SUB_GRADE,SUB_GRADE_SPEC,DRG_REV_NO,PURCHASE_UNIT,CONVERSION_QTY,MAT_DESPTYPE,MAT_PRODTYPE,IS_WTINPUTINSALES,MOULD_STANDWT,SPECIF_REVISION_NO,SPECIF_REVISION_DATE,TAX_CODE,PERHOUR_RATE,PATTERN_TYPE,CAVITY_NOS,MPLATE_LENGTH,MPLATE_WIDTH,LEAD_DAYS,TOLERANCE,PER_HOUR,IS_FLAG,SYSADD_DATETIME,SYSADD_LOGIN,SYSCHNG_DATETIME,SYSCHNG_LOGIN,STATUS_CODE,SYS_DATE,USER_NAME,DBK_CODE,GST_RATECATEGORY,MAT_WEIGHT,BOX_PER,MAT_RATE,BARCODE_NO,CASTING_RATE,MACHINE_RATE
1010402731,104,BEARING 51113,NULL,"NOS  ",NULL," ",1010260,NULL,NULL,NULL,NULL," ",NULL,101001,101000603,NULL,101000341,NULL,NULL,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0,0,NULL,1010061,84822011,NULL,NULL,NULL,NULL,NULL,101000603,NULL,101000341,NULL,NULL,0.00,0,0,NULL,NULL,NULL,NULL,0,"NOS  ",1.000,0,0,0,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2018090815:29:49,PRASHANT,2018092811:03:36,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,NULL,0.00,NULL,0.00,0.00
1010402732,104,"RHEOTEC TAD ",NULL,"NOS  ",NULL," ",1010221,NULL,NULL,NULL,NULL," ",NULL,101001,101000222,NULL,101000341,NULL,NULL,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0,0,NULL,1010022,38241000,NULL,NULL,NULL,NULL,NULL,101000222,NULL,101000341,NULL,NULL,0.00,0,0,NULL,NULL,NULL,NULL,0,"NOS  ",1.000,0,0,0,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2018090815:30:17,PRASHANT,2018100411:30:45,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,NULL,0.00,NULL,0.00,0.00
1010402733,104,SEOND DOUBLE GEAR ASSEMBLY MAGNET CRANE,NULL,"NOS  ",NULL," ",1010266,NULL,NULL,NULL,NULL," ",NULL,101001,101000606,NULL,101000341,NULL,NULL,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0,0,NULL,1010197,8431,NULL,NULL,NULL,NULL,NULL,101000606,NULL,101000341,NULL,NULL,0.00,0,0,NULL,NULL,NULL,NULL,0,"NOS  ",1.000,0,0,0,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2018090815:30:42,PRASHANT,2018100512:30:45,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,NULL,0.00,NULL,0.00,0.00
1010402734,104,FIRST DOUBLE GEAR ASSEMBLY MAGNET CRANE,NULL,"NOS  ",NULL," ",1010266,NULL,NULL,NULL,NULL," ",NULL,101001,101000606,NULL,101000341,NULL,NULL,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0,0,NULL,1010197,8431,NULL,NULL,NULL,NULL,NULL,101000606,NULL,101000341,NULL,NULL,0.00,0,0,NULL,NULL,NULL,NULL,0,"NOS  ",1.000,0,0,0,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2018090815:31:43,PRASHANT,2018100512:30:33,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,NULL,0.00,NULL,0.00,0.00
1010402735,104,5/8 X 10 INCH HI TENSILE BOLT,NULL,"NOS  ",NULL," ",1010257,NULL,NULL,NULL,NULL," ",NULL,101001,101000200,NULL,101000341,NULL,NULL,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0,0,NULL,1010136,73181190,NULL,NULL,NULL,NULL,NULL,101000200,NULL,101000341,NULL,NULL,0.00,0,0,NULL,NULL,NULL,NULL,0,"NOS  ",1.000,0,0,0,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2018090815:32:30,PRASHANT,2018101311:28:06,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,NULL,0.00,NULL,0.00,0.00
1010402736,104,THIRD DOUBLE GEAR ASSEMBLY MAGNET CRANE,NULL,"NOS  ",NULL," ",1010266,NULL,NULL,NULL,NULL," ",NULL,101001,101000606,NULL,101000341,NULL,NULL,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0,0,NULL,1010197,8431,NULL,NULL,NULL,NULL,NULL,101000606,NULL,101000341,NULL,NULL,0.00,0,0,NULL,NULL,NULL,NULL,0,"NOS  ",1.000,0,0,0,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2018090815:32:49,PRASHANT,2018100512:31:02,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,NULL,0.00,NULL,0.00,0.00
1010402737,104,WEIGHING SCALE PCB CARD,NULL,"NOS  ",NULL," ",1010241,NULL,NULL,NULL,NULL," ",NULL,101001,101000612,NULL,101000341,NULL,NULL,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0,0,NULL,1010064,84832000,NULL,NULL,NULL,NULL,NULL,101000612,NULL,101000341,NULL,NULL,0.00,0,0,NULL,NULL,NULL,NULL,0,"NOS  ",1.000,0,0,0,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2018090815:34:25,PRASHANT,2018100516:52:40,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,NULL,0.00,NULL,0.00,0.00
1010402738,104,"BEARING ASSEMBLY ",NULL,"NOS  ",NULL," ",1010268,NULL,NULL,NULL,NULL," ",NULL,101001,101000608,NULL,101000341,NULL,NULL,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0,0,NULL,1010061,84822011,NULL,NULL,NULL,NULL,NULL,101000608,NULL,101000341,NULL,NULL,0.00,0,0,NULL,NULL,NULL,NULL,0,"NOS  ",1.000,0,0,0,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2018090815:34:56,PRASHANT,2018091616:09:10,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,NULL,0.00,NULL,0.00,0.00
1010402739,104,"MCCB 125 AMP X 4 POLE ",NULL,"NOS  ",NULL," ",1010265,NULL,NULL,NULL,NULL," ",NULL,101001,101000605,NULL,101000341,NULL,NULL,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0,0,NULL,1010148,8536,NULL,NULL,NULL,NULL,NULL,101000605,NULL,101000341,NULL,NULL,0.00,0,0,NULL,NULL,NULL,NULL,0,"NOS  ",1.000,0,0,0,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2018090815:35:21,PRASHANT,2018100516:52:17,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,NULL,0.00,NULL,0.00,0.00
1010402740,104,"NUT BOLT WASHER 3/8 X 2 INCH ",NULL,"NOS  ",NULL," ",1010268,NULL,NULL,NULL,NULL," ",NULL,101001,101000608,NULL,101000341,NULL,NULL,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0,0,NULL,1010136,73181190,NULL,NULL,NULL,NULL,NULL,101000608,NULL,101000341,NULL,NULL,0.00,0,0,NULL,NULL,NULL,NULL,0,"NOS  ",1.000,0,0,0,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2018090815:36:00,PRASHANT,2018101311:28:24,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,NULL,0.00,NULL,0.00,0.00
